County,Total Direct Emissions,Latitude,Longitude
Adams,95857.538,39.903884,-91.410552
Alexander,50738.96,37.01433,-89.17734
Boone,40660.296,42.236442,-88.8655
Cass,33933.64,39.99379,-90.404577
Champaign,248438.736,40.1945705,-88.32869
Christian,3925347.6840000004,39.620643,-89.37974799999999
Clay,14838.496,38.6996,-88.5392
Clinton,29617.266,38.53034,-89.26392
Coles,1237.75,39.495529,-88.288727
Cook,1959573.0820000002,41.81464092,-87.7259806
Crawford,1845068.114,38.998266,-87.69118566666667
De Witt,87884.75,40.1143,-88.958
Dekalb,108462.54,41.897846,-88.685484
Douglas,23011.364,39.790242,-88.358652
Dupage,568377.6140000001,41.803398,-88.11628379999999
Effingham,83046.75,39.102089,-88.52566
Fayette,23610.596,39.102169,-88.860001
Ford,330222.96,40.51758966666667,-88.32546400000001
Franklin,466389,38.034083,-88.760948
Grundy,1152136.698,41.39807283333334,-88.35117766666667
Hamilton,521655.5,38.1715,-88.6025
Henry,444168.592,41.3144998,-90.101099
Iroquois,59650.776,40.762424,-88.014319
Jackson,147792.062,37.737470333333334,-89.33091266666666
Jasper,3692400.95,38.9361,-88.2778
Jefferson,65869.252,38.29007,-88.89037
Jo Daviess,760206.164,42.44311,-90.55686
Kane,102623.634,41.981957,-88.2643195
Kankakee,233601.87800000003,41.098235599999995,-87.90885440000001
Kendall,2481234.314,41.5512,-88.42086
Knox,79561.45,41.026486,-90.249232
Lake,3096236.638,42.36851133333334,-87.87457088888888
Lawrence,80703.398,38.739368,-87.852363
Lee,1185666.83,41.77929566666666,-89.43566833333334
Livingston,177753.478,40.864184333333334,-88.68511033333334
Logan,41393.594,40.005491,-89.445956
Macon,5107753.892,39.82874425,-88.93781075000001
Madison,6909256.722,38.779878999999994,-90.12199290000001
Marion,13405,38.7619,-89.0128
Marshall,44986.03,41.13525,-89.341073
Massac,5808471.772,37.207990599999995,-88.8454572
Mcdonough,29995.956,40.474957,-90.66027199999999
Mchenry,60619.880000000005,42.285619,-88.4047465
Mclean,28856.054,40.4879755,-89.012843
Montgomery,44390.05,39.1541445,-89.56050450000001
Moultrie,23852.308,39.79215,-88.5875
Ogle,404539.028,41.98680433333333,-89.04017166666667
Peoria,3605646.856,40.660804142857145,-89.67873228571428
Perry,221904.758,38.06668066666666,-89.41444433333334
Piatt,35276.068,40.1083,-88.5986
Pike,26866.438,39.599104,-90.87597
Putnam,647223.792,41.286918,-89.311848
Randolph,7029178.08,38.169541333333335,-89.72386733333333
Rock Island,1705965.6334000002,41.55398333333333,-90.36611749999999
Saline,52790,37.876135,-88.702713
Sangamon,1331872.7200000002,39.76750925,-89.60718725000001
Scott,31532.336,39.5697,-90.4362
Shelby,866557.584,39.2518,-88.6183
St. Clair,252497.71,38.506326333333334,-90.027106
Stephenson,122741.48800000001,42.316050000000004,-89.6712505
Tazewell,3849131.408,40.57048833333334,-89.59512050000001
Vermilion,237083.37,40.209276833333334,-87.64096016666666
Warren,3263.688,40.92801,-90.64194
Washington,12496788.584,38.2792,-89.667
Wayne,42135.344,38.425582,-88.460095
Whiteside,259932.438,41.72402066666667,-89.79320733333334
Will,7492562.177,41.47667015789475,-88.03724326315788
Williamson,1424870.114,37.72762,-88.89541
Winnebago,602050.022,42.21999075000001,-89.08985875
