County,Population
Adams,65622
Alexander,5172
Bond,16856
Boone,53339
Brown,6237
Bureau,33225
Calhoun,4403
Carroll,15678
Cass,12976
Champaign,206252
Christian,33982
Clark,15448
Clay,13273
Clinton,36913
Coles,47084
Cook,5267072
Crawford,18637
Cumberland,10437
Dekalb,100368
De Witt,15464
Douglas,19780
Dupage,931508
Edgar,16808
Edwards,6209
Effingham,34707
Fayette,21485
Ford,13511
Franklin,37717
Fulton,33554
Gallatin,4945
Greene,11935
Grundy,52535
Hamilton,7993
Hancock,17558
Hardin,3646
Henderson,6335
Henry,49178
Iroquois,26966
Jackson,53264
Jasper,9255
Jefferson,37000
Jersey,21492
Jo Daviess,22098
Johnson,13322
Kane,516403
Kankakee,107403
Kendall,132351
Knox,49806
Lake,713426
Lasalle,109409
Lawrence,15283
Lee,34063
Livingston,35816
Logan,27905
Mcdonough,27116
Mchenry,309973
Mclean,171236
Macon,103764
Macoupin,44924
Madison,265749
Marion,37657
Marshall,11710
Mason,13053
Massac,14137
Menard,12272
Mercer,15632
Monroe,34953
Montgomery,28242
Morgan,33494
Moultrie,14492
Ogle,51762
Peoria,181512
Perry,20892
Piatt,16683
Pike,14637
Pope,3758
Pulaski,5179
Putnam,5631
Randolph,30084
Richland,15805
Rock Island,144360
St Clair,257070
Saline,23741
Sangamon,196223
Schuyler,6870
Scott,5074
Shelby,20907
Stark,5388
Stephenson,44573
Tazewell,131296
Union,17298
Vermilion,74010
Wabash,11315
Warren,16832
Washington,13731
Wayne,16161
White,13814
Whiteside,55574
Will,696909
Williamson,67121
Winnebago,284963
Woodford,38407
