County,Data_Value
Adams,1114.7
Alexander,1262.2
Bond,1126.8
Boone,1266.8
Brown,767.8
Bureau,1070.2
Calhoun,959.1
Carroll,929.7
Cass,1218.1
Champaign,1309.8
Christian,888.7
Clark,1314.3
Clay,1284.1
Clinton,1224.4
Coles,1136.6
Cook,2191.4
Crawford,1317.1
Cumberland,1226.9
De Witt,1163.6000000000001
DeKalb,1178.9
Douglas,1008.3
DuPage,1974.0
Edgar,1168.8
Edwards,1285.0
Effingham,1322.4
Fayette,1078.2
Ford,1188.1
Franklin,1137.0
Fulton,1192.0
Gallatin,1200.4
Greene,1044.9
Grundy,1128.7
Hamilton,1340.4
Hancock,1115.9
Hardin,1194.2
Henderson,1142.9
Henry,1006.1999999999999
Iroquois,1207.7
Jackson,1239.6
Jasper,1134.3
Jefferson,1168.6
Jersey,1080.5
Jo Daviess,971.0
Johnson,983.2
Kane,2074.0
Kankakee,1869.6000000000001
Kendall,1712.2
Knox,1212.0
LaSalle,1507.8
Lake,1575.7
Lawrence,1356.0
Lee,1215.3
Livingston,1333.7
Logan,1109.5
Macon,1453.4
Macoupin,1155.9
Madison,2310.5
Marion,1276.7
Marshall,1359.3
Mason,1092.7
Massac,1120.0
McDonough,1456.8
McHenry,1548.1
McLean,1180.2
Menard,1009.4
Mercer,989.0999999999999
Monroe,1219.3
Montgomery,1248.6
Morgan,1063.5
Moultrie,1004.9
Ogle,1233.4
Peoria,2001.8
Perry,1163.9
Piatt,962.0999999999999
Pike,1113.6
Pope,1040.6
Pulaski,1208.0
Putnam,1076.7
Randolph,1240.6
Richland,1064.8
Rock Island,1507.2
Saline,1410.7
Sangamon,1377.4
Schuyler,1206.6
Scott,740.6
Shelby,987.9
St. Clair,2242.6
Stark,1123.4
Stephenson,992.3
Tazewell,1051.4
Union,1133.9
Vermilion,1552.3
Wabash,1045.9
Warren,1329.5
Washington,1316.8
Wayne,1347.1
White,1169.0
Whiteside,1183.2
Will,2001.4
Williamson,1198.4
Winnebago,1969.9
Woodford,1168.1
